tipo,codigo_beca,nombre_beca,porcentaje_descuento,requisito,monto_Manutencion,cupos,Periodo
Arancel,BPR-01,Beca Presidente de la República,48.5,Promedio >= 6.0,,40,
Manutención,BJG-02,Beca Juan Gómez Millas,,Promedio >= 5.5,1150000,20,4
Arancel,BPC-07,Beca de Continuidad de Estudios,40.0,Cambio de institución en cierre,,12,
Arancel,BIA-05,Beca Indígena,35.0,Acreditar ascendencia indígena,,15,
Manutención,BEX-06,Beca Excelencia Académica,,Top 10% promoción,1300000,25,10
Manutención,BDA-08,Beca de Alimentación JUNAEB,,Estudiantes con vulnerabilidad,32000,100,7
Arancel,BNE-03,Beca Nuevo Milenio,50.0,Promedio >= 5.0,,30,
Manutención,BVA-04,Beca Vocación de Profesor,,Puntaje PDT alto,1800000,10,2
Arancel,BFD-09,Beca de Fotocopias y Documentos,30.0,Apoyo en materiales de estudio,,50,
Manutención,BCT-10,Beca de Talento Artístico,,Demostrar habilidades artísticas,700000,8,5
